session_id,proposal_index,proposal_id,persona_id,winner,tone_id,genre_id,winner_key
session-20260309-230141-f307,1,phase4a-20260309141042-1,persona-12997349,0,,,C
session-20260309-230141-f307,2,phase4a-20260309141118-2,persona-85daec20,1,,,C
session-20260310-093958-b9fd,0,phase4a-20260310005912-0,persona-d2e63ce4,0,,,B
session-20260310-093958-b9fd,1,phase4a-20260310005947-1,persona-72d11933,1,,,B
session-20260310-093958-b9fd,2,phase4a-20260310010023-2,persona-bf06ecbf,0,,,B
session-20260310-172135-69e8,0,phase4a-20260310083158-0,persona-77f12e83,0,,,B
session-20260310-172135-69e8,1,phase4a-20260310083233-1,persona-3645b179,1,,,B
session-20260310-172135-69e8,2,phase4a-20260310083307-2,persona-6cb92cbf,0,,,B
session-20260311-014535-cf0f,0,phase4a-20260310165755-0,persona-5d113395,1,,,A
session-20260311-014535-cf0f,1,phase4a-20260310165830-1,persona-ce3b4ea8,0,,,A
session-20260311-014535-cf0f,2,phase4a-20260310165908-2,persona-9da6093e,0,,,A
session-20260311-122757-1663,0,phase4a-20260311033811-0,persona-ce6d74f0,0,,,C
session-20260311-122757-1663,1,phase4a-20260311033856-1,persona-85fe95b7,0,,,C
session-20260311-122757-1663,2,phase4a-20260311033934-2,persona-4c8b8788,1,,,C
session-20260312-011658-16a7,0,phase4a-20260311162717-0,persona-4ed1b451,0,,,B
session-20260312-011658-16a7,1,phase4a-20260311162800-1,persona-7f2e39fc,1,,,B
session-20260312-011658-16a7,2,phase4a-20260311162838-2,persona-7afe683b,0,,,B
session-20260312-151414-54aa,0,phase4a-20260312062309-0,persona-a514e5e9,0,,,B
session-20260312-151414-54aa,1,phase4a-20260312062347-1,persona-79967dbb,1,,,B
session-20260312-151414-54aa,2,phase4a-20260312062430-2,persona-fafeaa10,0,,,B
session-20260312-192804-7f81,0,phase4a-20260312103834-0,persona-42d8f602,0,,,C
session-20260312-192804-7f81,1,phase4a-20260312103909-1,persona-597f3ad7,0,,,C
session-20260312-192804-7f81,2,phase4a-20260312103947-2,persona-adacfe11,1,,,C
session-20260313-000940-00bd,0,phase4a-20260312152252-0,persona-6d7657b0,1,,,A
session-20260313-000940-00bd,1,phase4a-20260312152443-1,persona-10ced470,0,,,A
session-20260313-000940-00bd,2,phase4a-20260312152707-2,persona-aa543b71,0,,,A
session-20260313-122901-8139,0,phase4a-20260313033940-0,persona-e4f259f7,0,,,C
session-20260313-122901-8139,1,phase4a-20260313034031-1,persona-2c74efe0,0,,,C
session-20260313-122901-8139,2,phase4a-20260313034116-2,persona-2f93930e,1,,,C
session-20260314-010741-b9c2,0,phase4a-20260313161724-0,persona-0161eba6,0,,,C
session-20260314-010741-b9c2,1,phase4a-20260313161802-1,persona-b09c46dd,0,,,C
session-20260314-010741-b9c2,2,phase4a-20260313161852-2,persona-17c13d28,1,,,C
session-20260314-101620-793b,0,phase4a-20260314012605-0,persona-10ced470,0,,,C
session-20260314-101620-793b,1,phase4a-20260314012649-1,persona-12997349,0,,,C
session-20260314-101620-793b,2,phase4a-20260314012735-2,persona-01454f7d,1,,,C
session-20260315-020605-404c,0,phase4a-20260314172642-0,persona-21630109,0,,,C
session-20260315-020605-404c,1,phase4a-20260314172937-1,persona-c351f248,0,,,C
session-20260315-020605-404c,2,phase4a-20260314173039-2,persona-a514e5e9,1,,,C
session-20260315-130337-5272,0,phase4a-20260315041428-0,persona-dbb964e7,0,,,C
session-20260315-130337-5272,1,phase4a-20260315041524-1,persona-2c74efe0,0,,,C
session-20260315-130337-5272,2,phase4a-20260315041623-2,persona-81bd5a5f,1,,,C
session-20260316-002347-d4bf,0,phase4a-20260315153925-0,persona-e4f259f7,0,,,C
session-20260316-002347-d4bf,1,phase4a-20260315154021-1,persona-4b4b8838,0,,,C
session-20260316-002347-d4bf,2,phase4a-20260315154117-2,persona-0b1a9590,1,,,C
session-20260317-015519-83a8,0,phase4a-20260316170841-0,persona-bf06ecbf,1,,,A
session-20260317-015519-83a8,1,phase4a-20260316171105-1,persona-129b4411,0,,,A
session-20260317-015519-83a8,2,phase4a-20260316171731-2,persona-8f0c4ee1,0,,,A
session-20260317-111221-7b07,0,phase4a-20260317022348-0,persona-424b62dd,0,,,C
session-20260317-111221-7b07,1,phase4a-20260317022452-1,persona-e9f99998,0,,,C
session-20260317-111221-7b07,2,phase4a-20260317022550-2,persona-8073fbaf,1,,,C
session-20260318-112731-fe15,0,phase4a-20260318024738-0,persona-fe879187,0,,,C
session-20260318-112731-fe15,1,phase4a-20260318024827-1,persona-b29c0fba,0,,,C
session-20260318-112731-fe15,2,phase4a-20260318024929-2,persona-5582a4af,1,,,C
session-20260318-134607-794a,0,phase4a-20260318045712-0,persona-adacfe11,1,cottagecore,day_in_life,A
session-20260318-134607-794a,1,phase4a-20260318050012-1,persona-5d113395,0,80s_synthwave,one_room,A
session-20260318-134607-794a,2,phase4a-20260318050346-2,persona-5e640a83,0,desert_western,chase,A
session-20260319-004903-25bc,0,phase4a-20260318161111-0,persona-dfc6a221,0,neon_noir,showdown,B
session-20260319-004903-25bc,1,phase4a-20260318161220-1,persona-7be8e48c,1,80s_synthwave,horror,B
session-20260319-004903-25bc,2,phase4a-20260318161323-2,persona-89b66c63,0,brutalist,fashion,B
session-20260319-132845-b811,0,phase4a-20260319044302-0,persona-4bea2d91,1,noir,choreography,A
session-20260319-132845-b811,1,phase4a-20260319044700-1,persona-8073fbaf,0,cottagecore,catalog,A
session-20260319-132845-b811,2,phase4a-20260319045000-2,persona-06b834e1,0,polaroid_snapshot,road_movie,A
session-20260319-235635-fbb4,0,phase4a-20260319151442-0,persona-af0b2f41,1,neon_noir,heist,A
session-20260319-235635-fbb4,1,phase4a-20260319151605-1,persona-4da3ea17,0,soviet_constructivist,sports_match,A
session-20260319-235635-fbb4,2,phase4a-20260319151727-2,persona-07119ee1,0,vaporwave,road_movie,A
session-20260320-105804-a762,0,phase4a-20260320020717-0,persona-30f1115a,1,polaroid_snapshot,cooking,A
session-20260320-105804-a762,1,phase4a-20260320021042-1,persona-e9f99998,0,pastel_pop,catalog,A
session-20260320-105804-a762,2,phase4a-20260320021421-2,persona-d24e32e0,0,anime_cel,training,A
session-20260321-000337-db54,0,phase4a-20260320151441-0,persona-17c13d28,0,noir,party,C
session-20260321-000337-db54,1,phase4a-20260320151736-1,persona-129b4411,0,surveillance,choreography,C
session-20260321-000337-db54,2,phase4a-20260320152347-2,persona-cd4818e8,1,vaporwave,comedy,C
session-20260321-112701-c82a,0,phase4a-20260321023802-0,persona-8f0c4ee1,0,fairy_tale,choreography,C
session-20260321-112701-c82a,1,phase4a-20260321024033-1,persona-8f5d8cfa,0,steampunk,showdown,C
session-20260321-112701-c82a,2,phase4a-20260321024128-2,persona-3c5f5cab,1,psychedelic,band_session,C
session-20260321-233838-3056,0,phase4a-20260321144946-0,persona-18848ab6,1,medical_clinical,band_session,A
session-20260321-233838-3056,1,phase4a-20260321145214-1,persona-27245932,0,cottagecore,day_in_life,A
session-20260321-233838-3056,2,phase4a-20260321145523-2,persona-7e69bc5e,0,gothic,fashion,A
session-20260322-102026-26e3,0,phase4a-20260322013151-0,persona-6fd7d48b,0,medical_clinical,road_movie,C
session-20260322-102026-26e3,1,phase4a-20260322013253-1,persona-b04b0295,0,tropical,one_room,C
session-20260322-102026-26e3,2,phase4a-20260322013403-2,persona-093e640a,1,brutalist,fashion,C
session-20260322-165429-3acb,0,phase4a-20260322132212-0,persona-b67e7fe9,0,ukiyo_e,one_room,C
session-20260322-165429-3acb,1,phase4a-20260322132309-1,persona-2214015d,0,cyberpunk,training,C
session-20260322-165429-3acb,2,phase4a-20260322132402-2,persona-21630109,1,carnival,fashion,C
