phase,dimension,catalog_id,label,proposal_count,winner_count,proposal_share,winner_share,adoption_given_usage,proposal_sessions,winner_sessions,session_usage_rate
phase3,selected_set_keywords,吊り灯,吊り灯,12,4,0.004412,0.004348,0.333333,12,4,0.26087
phase3,selected_set_keywords,土の盛り土,土の盛り土,20,8,0.007353,0.008696,0.4,15,8,0.326087
phase3,selected_set_keywords,地下換気塔,地下換気塔,17,6,0.00625,0.006522,0.352941,14,6,0.304348
phase3,selected_set_keywords,城壁,城壁,12,7,0.004412,0.007609,0.583333,12,7,0.26087
phase3,selected_set_keywords,城壁階段,城壁階段,11,2,0.004044,0.002174,0.181818,11,2,0.23913
phase3,selected_set_keywords,城郭櫓,城郭櫓,17,4,0.00625,0.004348,0.235294,17,4,0.369565
phase3,selected_set_keywords,城門,城門,14,4,0.005147,0.004348,0.285714,14,4,0.304348
phase3,selected_set_keywords,堀,堀,10,3,0.003676,0.003261,0.3,9,3,0.195652
phase3,selected_set_keywords,壁掛け灯,壁掛け灯,13,2,0.004779,0.002174,0.153846,12,2,0.26087
phase3,selected_set_keywords,変圧器,変圧器,20,6,0.007353,0.006522,0.3,19,6,0.413043
phase3,selected_set_keywords,妖精灯,妖精灯,12,3,0.004412,0.003261,0.25,10,3,0.217391
phase3,selected_set_keywords,封印石,封印石,15,6,0.005515,0.006522,0.4,12,6,0.26087
phase3,selected_set_keywords,小さな煙突,小さな煙突,15,4,0.005515,0.004348,0.266667,13,4,0.282609
phase3,selected_set_keywords,岩の裂け目,岩の裂け目,24,6,0.008824,0.006522,0.25,18,6,0.391304
phase3,selected_set_keywords,岩棚,岩棚,20,6,0.007353,0.006522,0.3,16,6,0.347826
phase3,selected_set_keywords,工具棚,工具棚,13,5,0.004779,0.005435,0.384615,12,5,0.26087
phase3,selected_set_keywords,巨岩,巨岩,17,3,0.00625,0.003261,0.176471,16,3,0.347826
phase3,selected_set_keywords,市場屋台,市場屋台,15,3,0.005515,0.003261,0.2,15,3,0.326087
phase3,selected_set_keywords,幻光標識,幻光標識,16,6,0.005882,0.006522,0.375,15,6,0.326087
phase3,selected_set_keywords,排水口,排水口,15,4,0.005515,0.004348,0.266667,15,4,0.326087
phase3,selected_set_keywords,排水溝,排水溝,12,4,0.004412,0.004348,0.333333,10,4,0.217391
phase3,selected_set_keywords,提灯,提灯,20,10,0.007353,0.01087,0.5,17,10,0.369565
phase3,selected_set_keywords,断片地形,断片地形,15,7,0.005515,0.007609,0.466667,13,7,0.282609
phase3,selected_set_keywords,旗布,旗布,13,6,0.004779,0.006522,0.461538,13,6,0.282609
phase3,selected_set_keywords,旗竿,旗竿,14,4,0.005147,0.004348,0.285714,13,4,0.282609
phase3,selected_set_keywords,暖簾,暖簾,15,6,0.005515,0.006522,0.4,14,6,0.304348
phase3,selected_set_keywords,木の骨組み,木の骨組み,18,5,0.006618,0.005435,0.277778,16,5,0.347826
phase3,selected_set_keywords,木柵,木柵,14,7,0.005147,0.007609,0.5,13,7,0.282609
phase3,selected_set_keywords,木桶,木桶,11,5,0.004044,0.005435,0.454545,10,5,0.217391
phase3,selected_set_keywords,木槍立て,木槍立て,8,4,0.002941,0.004348,0.5,8,4,0.173913
phase3,selected_set_keywords,木樽,木樽,10,6,0.003676,0.006522,0.6,10,6,0.217391
phase3,selected_set_keywords,木橋,木橋,8,4,0.002941,0.004348,0.5,8,4,0.173913
phase3,selected_set_keywords,木製クレーン,木製クレーン,11,5,0.004044,0.005435,0.454545,11,5,0.23913
phase3,selected_set_keywords,木製看板,木製看板,14,4,0.005147,0.004348,0.285714,13,4,0.282609
phase3,selected_set_keywords,松明,松明,7,3,0.002574,0.003261,0.428571,7,3,0.152174
phase3,selected_set_keywords,柱頭飾り,柱頭飾り,11,2,0.004044,0.002174,0.181818,11,2,0.23913
phase3,selected_set_keywords,格子戸,格子戸,15,6,0.005515,0.006522,0.4,15,6,0.326087
phase3,selected_set_keywords,桟橋,桟橋,21,7,0.007721,0.007609,0.333333,17,7,0.369565
phase3,selected_set_keywords,横断帯,横断帯,12,4,0.004412,0.004348,0.333333,11,4,0.23913
phase3,selected_set_keywords,樽山,樽山,13,7,0.004779,0.007609,0.538462,13,7,0.282609
phase3,selected_set_keywords,水晶灯,水晶灯,9,4,0.003309,0.004348,0.444444,9,4,0.195652
phase3,selected_set_keywords,水路,水路,16,8,0.005882,0.008696,0.5,13,8,0.282609
phase3,selected_set_keywords,水車,水車,17,6,0.00625,0.006522,0.352941,17,6,0.369565
phase3,selected_set_keywords,水門,水門,16,5,0.005882,0.005435,0.3125,14,5,0.304348
phase3,selected_set_keywords,河原石,河原石,15,8,0.005515,0.008696,0.533333,14,8,0.304348
phase3,selected_set_keywords,泥地,泥地,11,5,0.004044,0.005435,0.454545,9,5,0.195652
phase3,selected_set_keywords,洞穴,洞穴,9,2,0.003309,0.002174,0.222222,8,2,0.173913
phase3,selected_set_keywords,浅瀬,浅瀬,16,7,0.005882,0.007609,0.4375,16,7,0.347826
phase3,selected_set_keywords,浮き樽,浮き樽,16,12,0.005882,0.013043,0.75,16,12,0.347826
phase3,selected_set_keywords,浮上ホーム,浮上ホーム,12,5,0.004412,0.005435,0.416667,12,5,0.26087
phase3,selected_set_keywords,浮彫壁,浮彫壁,19,7,0.006985,0.007609,0.368421,17,7,0.369565
phase3,selected_set_keywords,浮遊コンテナ,浮遊コンテナ,13,7,0.004779,0.007609,0.538462,13,7,0.282609
phase3,selected_set_keywords,浮遊ドック,浮遊ドック,13,2,0.004779,0.002174,0.153846,12,2,0.26087
phase3,selected_set_keywords,浮遊岩,浮遊岩,14,3,0.005147,0.003261,0.214286,12,3,0.26087
phase3,selected_set_keywords,浮遊島,浮遊島,16,4,0.005882,0.004348,0.25,13,4,0.282609
phase3,selected_set_keywords,浮遊柵,浮遊柵,19,8,0.006985,0.008696,0.421053,18,8,0.391304
phase3,selected_set_keywords,浮遊標識,浮遊標識,10,4,0.003676,0.004348,0.4,10,4,0.217391
phase3,selected_set_keywords,浮遊灯,浮遊灯,11,4,0.004044,0.004348,0.363636,10,4,0.217391
phase3,selected_set_keywords,浮遊石,浮遊石,14,2,0.005147,0.002174,0.142857,12,2,0.26087
phase3,selected_set_keywords,浮遊街灯,浮遊街灯,13,3,0.004779,0.003261,0.230769,11,3,0.23913
phase3,selected_set_keywords,浮遊足場,浮遊足場,16,4,0.005882,0.004348,0.25,15,4,0.326087
phase3,selected_set_keywords,消火栓,消火栓,15,7,0.005515,0.007609,0.466667,14,7,0.304348
phase3,selected_set_keywords,炉の跡,炉の跡,19,3,0.006985,0.003261,0.157895,16,3,0.347826
phase3,selected_set_keywords,点字ブロック,点字ブロック,9,4,0.003309,0.004348,0.444444,8,4,0.173913
phase3,selected_set_keywords,焚き火跡,焚き火跡,18,6,0.006618,0.006522,0.333333,14,6,0.304348
phase3,selected_set_keywords,燧石山,燧石山,15,5,0.005515,0.005435,0.333333,13,5,0.282609
phase3,selected_set_keywords,獣道,獣道,18,8,0.006618,0.008696,0.444444,16,8,0.347826
phase3,selected_set_keywords,発光段差,発光段差,17,7,0.00625,0.007609,0.411765,16,7,0.347826
phase3,selected_set_keywords,発光苔,発光苔,11,4,0.004044,0.004348,0.363636,11,4,0.23913
phase3,selected_set_keywords,発光路面,発光路面,18,6,0.006618,0.006522,0.333333,16,6,0.347826
phase3,selected_set_keywords,白線,白線,19,7,0.006985,0.007609,0.368421,16,7,0.347826
phase3,selected_set_keywords,皮の天幕,皮の天幕,10,2,0.003676,0.002174,0.2,9,2,0.195652
phase3,selected_set_keywords,皮の敷物,皮の敷物,12,4,0.004412,0.004348,0.333333,12,4,0.26087
phase3,selected_set_keywords,監視カメラ,監視カメラ,17,5,0.00625,0.005435,0.294118,14,5,0.304348
phase3,selected_set_keywords,矢狭間,矢狭間,12,7,0.004412,0.007609,0.583333,11,7,0.23913
phase3,selected_set_keywords,石の噴水,石の噴水,19,11,0.006985,0.011957,0.578947,16,11,0.347826
phase3,selected_set_keywords,石の囲い,石の囲い,8,3,0.002941,0.003261,0.375,8,3,0.173913
phase3,selected_set_keywords,石の導水管,石の導水管,10,6,0.003676,0.006522,0.6,9,6,0.195652
phase3,selected_set_keywords,石像,石像,17,3,0.00625,0.003261,0.176471,14,3,0.304348
phase3,selected_set_keywords,石像門,石像門,14,7,0.005147,0.007609,0.5,12,7,0.26087
phase3,selected_set_keywords,石器束,石器束,10,2,0.003676,0.002174,0.2,10,2,0.217391
phase3,selected_set_keywords,石垣,石垣,12,3,0.004412,0.003261,0.25,11,3,0.23913
phase3,selected_set_keywords,石壁,石壁,14,4,0.005147,0.004348,0.285714,14,4,0.304348
phase3,selected_set_keywords,石板,石板,19,4,0.006985,0.004348,0.210526,16,4,0.347826
phase3,selected_set_keywords,石柱,石柱,8,1,0.002941,0.001087,0.125,8,1,0.173913
phase3,selected_set_keywords,石橋,石橋,22,11,0.008088,0.011957,0.5,18,11,0.391304
phase3,selected_set_keywords,石段,石段,12,1,0.004412,0.001087,0.083333,10,1,0.217391
phase3,selected_set_keywords,石畳,石畳,18,10,0.006618,0.01087,0.555556,16,10,0.347826
phase3,selected_set_keywords,石碑,石碑,16,8,0.005882,0.008696,0.5,13,8,0.282609
phase3,selected_set_keywords,石臼,石臼,25,10,0.009191,0.01087,0.4,22,10,0.478261
phase3,selected_set_keywords,石門,石門,15,6,0.005515,0.006522,0.4,15,6,0.326087
phase3,selected_set_keywords,砂利道,砂利道,5,2,0.001838,0.002174,0.4,5,2,0.108696
phase3,selected_set_keywords,砂地,砂地,10,2,0.003676,0.002174,0.2,9,2,0.195652
phase3,selected_set_keywords,砥石台,砥石台,16,4,0.005882,0.004348,0.25,13,4,0.282609
phase3,selected_set_keywords,砦壁,砦壁,12,6,0.004412,0.006522,0.5,11,6,0.23913
phase3,selected_set_keywords,磁気レール,磁気レール,21,9,0.007721,0.009783,0.428571,19,9,0.413043
phase3,selected_set_keywords,神殿基壇,神殿基壇,13,3,0.004779,0.003261,0.230769,11,3,0.23913
phase3,selected_set_keywords,祠,祠,12,7,0.004412,0.007609,0.583333,12,7,0.26087
phase3,selected_set_keywords,祭壇,祭壇,17,5,0.00625,0.005435,0.294118,14,5,0.304348
phase3,selected_set_keywords,移動ホーム,移動ホーム,19,3,0.006985,0.003261,0.157895,17,3,0.369565
phase3,selected_set_keywords,空中レール,空中レール,11,7,0.004044,0.007609,0.636364,11,7,0.23913
phase3,selected_set_keywords,空中庭,空中庭,14,2,0.005147,0.002174,0.142857,13,2,0.282609
phase3,selected_set_keywords,空中橋,空中橋,17,7,0.00625,0.007609,0.411765,15,7,0.326087
phase3,selected_set_keywords,空中浮遊台,空中浮遊台,15,4,0.005515,0.004348,0.266667,14,4,0.304348
phase3,selected_set_keywords,空中足場,空中足場,16,10,0.005882,0.01087,0.625,15,10,0.326087
phase3,selected_set_keywords,竹垣,竹垣,13,5,0.004779,0.005435,0.384615,11,5,0.23913
phase3,selected_set_keywords,結晶樹,結晶樹,13,0,0.004779,0.0,0.0,13,0,0.282609
phase3,selected_set_keywords,結界柱,結界柱,13,1,0.004779,0.001087,0.076923,11,1,0.23913
phase3,selected_set_keywords,網,網,10,5,0.003676,0.005435,0.5,10,5,0.217391
phase3,selected_set_keywords,縁石,縁石,22,10,0.008088,0.01087,0.454545,17,10,0.369565
phase3,selected_set_keywords,繋留ロープ,繋留ロープ,14,3,0.005147,0.003261,0.214286,12,3,0.26087
phase3,selected_set_keywords,自販機,自販機,22,9,0.008088,0.009783,0.409091,21,9,0.456522
phase3,selected_set_keywords,自転車レーン,自転車レーン,8,2,0.002941,0.002174,0.25,7,2,0.152174
phase3,selected_set_keywords,船着き場,船着き場,14,8,0.005147,0.008696,0.571429,14,8,0.304348
phase3,selected_set_keywords,苔岩,苔岩,14,8,0.005147,0.008696,0.571429,14,8,0.304348
phase3,selected_set_keywords,草ぶき小屋,草ぶき小屋,21,5,0.007721,0.005435,0.238095,19,5,0.413043
phase3,selected_set_keywords,荷揚げ滑車,荷揚げ滑車,10,3,0.003676,0.003261,0.3,10,3,0.217391
phase3,selected_set_keywords,荷車,荷車,22,4,0.008088,0.004348,0.181818,17,4,0.369565
phase3,selected_set_keywords,荷車置き場,荷車置き場,15,5,0.005515,0.005435,0.333333,13,5,0.282609
phase3,selected_set_keywords,蔵の土壁,蔵の土壁,17,8,0.00625,0.008696,0.470588,17,8,0.369565
phase3,selected_set_keywords,薪積み,薪積み,16,6,0.005882,0.006522,0.375,12,6,0.26087
phase3,selected_set_keywords,行燈看板,行燈看板,12,5,0.004412,0.005435,0.416667,11,5,0.23913
phase3,selected_set_keywords,街路灯,街路灯,20,8,0.007353,0.008696,0.4,15,8,0.326087
phase3,selected_set_keywords,街道標,街道標,13,4,0.004779,0.004348,0.307692,11,4,0.23913
phase3,selected_set_keywords,製粉機,製粉機,17,6,0.00625,0.006522,0.352941,16,6,0.347826
phase3,selected_set_keywords,見張り塔,見張り塔,10,2,0.003676,0.002174,0.2,10,2,0.217391
phase3,selected_set_keywords,貯水槽,貯水槽,12,3,0.004412,0.003261,0.25,12,3,0.26087
phase3,selected_set_keywords,路面標識,路面標識,13,4,0.004779,0.004348,0.307692,12,4,0.26087
phase3,selected_set_keywords,跳ね橋,跳ね橋,13,6,0.004779,0.006522,0.461538,13,6,0.282609
phase3,selected_set_keywords,車止め,車止め,14,5,0.005147,0.005435,0.357143,13,5,0.282609
phase3,selected_set_keywords,送電鉄塔,送電鉄塔,13,4,0.004779,0.004348,0.307692,13,4,0.282609
phase3,selected_set_keywords,透過床,透過床,11,2,0.004044,0.002174,0.181818,10,2,0.217391
phase3,selected_set_keywords,通り灯,通り灯,13,4,0.004779,0.004348,0.307692,11,4,0.23913
phase3,selected_set_keywords,通信箱,通信箱,18,5,0.006618,0.005435,0.277778,17,5,0.369565
phase3,selected_set_keywords,通行ゲート,通行ゲート,24,11,0.008824,0.011957,0.458333,16,11,0.347826
phase3,selected_set_keywords,運河,運河,13,2,0.004779,0.002174,0.153846,13,2,0.282609
phase3,selected_set_keywords,郵便ポスト,郵便ポスト,19,9,0.006985,0.009783,0.473684,17,9,0.369565
phase3,selected_set_keywords,配電箱,配電箱,20,8,0.007353,0.008696,0.4,17,8,0.369565
phase3,selected_set_keywords,鉄格子門,鉄格子門,7,1,0.002574,0.001087,0.142857,7,1,0.152174
phase3,selected_set_keywords,鉄灯籠,鉄灯籠,15,5,0.005515,0.005435,0.333333,15,5,0.326087
phase3,selected_set_keywords,鍛造炉,鍛造炉,13,6,0.004779,0.006522,0.461538,12,6,0.26087
phase3,selected_set_keywords,電柱,電柱,13,3,0.004779,0.003261,0.230769,12,3,0.26087
phase3,selected_set_keywords,電線,電線,23,5,0.008456,0.005435,0.217391,19,5,0.413043
phase3,selected_set_keywords,霧の門,霧の門,21,7,0.007721,0.007609,0.333333,19,7,0.413043
phase3,selected_set_keywords,露岩,露岩,13,4,0.004779,0.004348,0.307692,12,4,0.26087
phase3,selected_set_keywords,風見旗,風見旗,9,5,0.003309,0.005435,0.555556,9,5,0.195652
phase3,selected_set_keywords,馬留め杭,馬留め杭,14,3,0.005147,0.003261,0.214286,12,3,0.26087
phase3,selected_set_keywords,骨の杭,骨の杭,6,1,0.002206,0.001087,0.166667,5,1,0.108696
phase3,selected_set_keywords,魔力井戸,魔力井戸,17,8,0.00625,0.008696,0.470588,14,8,0.304348
phase3,selected_set_keywords,魔力水路,魔力水路,11,3,0.004044,0.003261,0.272727,11,3,0.23913
phase3,selected_set_keywords,魔導塔,魔導塔,12,2,0.004412,0.002174,0.166667,10,2,0.217391
phase3,selected_set_keywords,魔導灯,魔導灯,21,6,0.007721,0.006522,0.285714,17,6,0.369565
phase3,selected_set_keywords,魔法陣床,魔法陣床,18,6,0.006618,0.006522,0.333333,15,6,0.326087
phase3,selected_set_keywords,黄線,黄線,16,8,0.005882,0.008696,0.5,13,8,0.282609
